Supplementary Table 3B. Differentially methylated probes between HF2927 CSCs and SDCs.,,,,
gene,feat.cgi,csc_AVG,sdc_AVG,adj.P.Val
LAMA3,TSS1500-shore,0.078306379,0.189970601,0.019857271
C10orf47,Body-island,1.011683676,0.90198483,0.019857271
VARS2,TSS1500-shore,0.278720353,0.479040082,0.019857271
MYH13,Body-opensea,0.511043376,0.406408437,0.019857271
,IGR-opensea,0.815246878,0.680944431,0.019857271
VIPR1,Body-shelf,0.793679919,0.694663522,0.019857271
,IGR-shore,0.629724575,0.548294174,0.019857271
,IGR-opensea,0.440062376,0.259990737,0.019857271
IGLL1,1stExon-opensea,0.570894215,0.455397315,0.019857271
TLN2,Body-opensea,0.882777372,0.801424947,0.019857271
GPRC5C,TSS200-shore,0.769398718,0.877334626,0.019857271
NXN,Body-opensea,0.81264898,0.724686611,0.019857271
C20orf151,5'UTR-shelf,0.767806006,0.659165566,0.019857271
SLC22A2,TSS200-shore,0.36372875,0.260225379,0.019857271
FBXL19,Body-island,0.770087921,0.849104506,0.019857271
DLGAP2,Body-opensea,0.478677756,0.588452529,0.019857271
ZNF385B,Body-opensea,0.844325695,0.759386684,0.019857271
ATP2C2,TSS1500-shore,0.396280633,0.443997734,0.019857271
,IGR-opensea,0.87348494,0.794088185,0.019857271
KIAA1199,5'UTR-shore,0.396511152,0.610377047,0.019857271
,IGR-opensea,0.262920639,0.143216231,0.019857271
,IGR-opensea,0.285190561,0.393956287,0.019857271
LAMA2,Body-opensea,0.819164177,0.922850794,0.019857271
,IGR-shelf,0.736098085,0.790219736,0.019857271
TNFRSF4,TSS1500-shore,0.861014056,0.758419119,0.019857271
BYSL,3'UTR-opensea,0.290620877,0.395620433,0.019857271
PLD2,5'UTR-island,0.066289199,0.149369771,0.019857271
,IGR-island,0.277519439,0.37968175,0.019857271
FAM55A,5'UTR-opensea,0.167375843,0.278482049,0.019857271
HRNBP3,Body-shore,0.532019144,0.463774583,0.019857271
SLC4A5,5'UTR-opensea,0.906148339,0.813243017,0.019857271
,IGR-opensea,0.582744773,0.477312251,0.019857271
SAA4,Body-opensea,0.659311788,0.575496351,0.019857271
SEMG1,3'UTR-opensea,0.470190882,0.345451343,0.019857271
GALNT9,Body-shelf,0.613457133,0.522822218,0.019857271
,IGR-opensea,0.814404238,0.739217441,0.019857271
DLG2,Body-opensea,0.722694769,0.634734686,0.019857271
STIM1,Body-opensea,0.662117297,0.838000515,0.019857271
C12orf39,TSS1500-shelf,0.847924175,0.743639691,0.019857271
CTHRC1,TSS200-island,0.773548556,0.912923197,0.019857271
C21orf90,TSS1500-opensea,0.757532229,0.641795079,0.019857271
KIAA1217,5'UTR-opensea,0.611735556,0.510468942,0.019857271
ULK1,1stExon-island,0.090353641,0.019928816,0.019857271
ZNF608,Body-opensea,0.096907135,0.186369814,0.019857271
H2AFX,TSS1500-shore,0.422512622,0.584004831,0.019857271
SCGB3A2,TSS1500-opensea,0.111867927,0.193393255,0.019857271
FCGBP,Body-shore,0.651889775,0.567496219,0.019857271
TBX1,Body-island,0.579193145,0.702211337,0.019857271
PRDM8,5'UTR-shore,0.749999855,0.823458313,0.019857271
SDK1,Body-opensea,0.900487338,0.812927228,0.019857271
,IGR-opensea,0.621378722,0.529768863,0.019857271
DCAF4,TSS1500-island,0.182477378,0.306324041,0.019857271
ARFRP1,TSS1500-shore,0.763058224,0.84523667,0.019857271
,IGR-shore,0.502487912,0.388724583,0.019857271
DLGAP2,Body-island,0.783157957,0.666550085,0.019857271
MDM4,Body-opensea,0.64630727,0.776830955,0.019857271
,IGR-island,0.60775858,0.540431866,0.019857271
AGAP1,Body-island,0.727118171,0.788990175,0.019857271
ST6GALNAC2,Body-opensea,0.557281112,0.635300327,0.019857271
,IGR-opensea,0.145086471,0.297747305,0.019857271
AK3L1,Body-island,0.265118617,0.187088031,0.019857271
,IGR-island,0.74732133,0.670544222,0.019857271
LOC375196,TSS200-island,0.874502049,0.933364024,0.019857271
DBX1,Body-island,0.194979302,0.278747433,0.019857271
PDE4D,Body-opensea,0.344780851,0.434693964,0.019857271
OR5V1,TSS1500-opensea,0.59110646,0.278226159,0.019857271
,IGR-shelf,0.655309327,0.707115401,0.019857271
ZNF469,TSS1500-shelf,0.321090089,0.228511755,0.019857271
C4orf50,Body-opensea,0.772474381,0.655400175,0.019857271
NPC2,Body-shore,0.370307212,0.473050712,0.019857271
,IGR-opensea,0.227473622,0.138842418,0.019857271
,IGR-shelf,0.727624389,0.599938326,0.019857271
