Supplementary Table 3A. Differentially methylated probes between HF2303 CSCs and SDCs.,,,,
gene,feat.cgi,CSC_AVG,SDC_AVG,adj.P.Val
ESAM,1stExon-island,0.112498111,0.01500572,0.136958402
EVX1,1stExon-island,0.170533942,0.220540249,0.136958402
AHRR,Body-opensea,0.929263184,0.825031076,0.136958402
TBC1D20,3'UTR-opensea,0.921944688,0.834611803,0.136958402
KCND3,TSS1500-island,0.071597426,0.03149417,0.136958402
,IGR-island,0.052028505,0.002876694,0.136958402
PLD6,TSS1500-island,0.988821382,0.901187612,0.137120481
P2RX5,3'UTR-shelf,0.812770912,0.882189378,0.137186348
,IGR-opensea,0.757596085,0.880564641,0.137186348
NEK10,TSS200-island,0.087626777,0.035374693,0.137186348
LOC404266,Body-island,0.065792728,0.014813593,0.137186348
C14orf79,TSS200-island,0.060347617,0.013510455,0.137186348
,IGR-island,0.111893198,0.011076034,0.137186348
SLC7A5,1stExon-island,0.071277196,0.011495367,0.137740436
DTX4,Body-island,0.07868371,0.003910802,0.138300889
GTF3C5,Body-opensea,0.945431355,0.878573851,0.138300889
FMN2,1stExon-island,0.050199034,0.01228134,0.138640048
PAX6,5'UTR-island,0.044936054,0.006893624,0.138931941
,IGR-opensea,0.298279187,0.365368315,0.138931941
ANO7,Body-shore,0.820525637,0.774385081,0.138931941
CYP4F22,3'UTR-island,0.253769093,0.347918055,0.138931941
,IGR-opensea,0.82460413,0.763356338,0.138931941
PRKCE,3'UTR-opensea,0.501033771,0.573277532,0.138931941
ADRA1A,Body-opensea,0.916065257,0.807061435,0.138931941
FLT4,Body-shore,0.710850451,0.663359177,0.138931941
CREB3L1,1stExon-island,0.082949735,0.006933377,0.138931941
FOXI1,Body-shore,0.499875951,0.451914907,0.138931941
NCOR2,Body-island,0.114145022,0.072045761,0.138931941
C1orf159,TSS1500-island,0.110983338,0.06801047,0.138931941
CYBA,TSS200-island,0.99765797,0.954407984,0.138931941
ARHGDIA,5'UTR-island,0.052036707,0.008458985,0.138931941
,IGR-island,0.083287207,0.039208856,0.138931941
,IGR-island,0.130086605,0.027660657,0.138931941
,IGR-opensea,0.570115284,0.526342554,0.138931941
,IGR-opensea,0.822119332,0.773235366,0.138931941
